ts_code,trade_date,turnover_rate_f,pe,pb
000300.SH,2012-04-19,0.92,11.44,1.79
000300.SH,2012-04-20,1.22,11.52,1.81
000300.SH,2012-04-23,1.16,11.44,1.79
000300.SH,2012-04-24,1.41,11.45,1.79
000300.SH,2012-04-25,1.24,11.51,1.8
000300.SH,2012-04-26,1.17,11.5,1.8
000300.SH,2012-04-27,0.96,11.5,1.77
000300.SH,2012-05-02,1.59,11.7,1.76
000300.SH,2012-05-03,1.18,11.71,1.76
000300.SH,2012-05-04,1.25,11.77,1.77
000300.SH,2012-05-07,1.36,11.76,1.77
000300.SH,2012-05-08,1.25,11.73,1.77
000300.SH,2012-05-09,1.16,11.54,1.74
000300.SH,2012-05-10,0.93,11.54,1.74
000300.SH,2012-05-11,0.81,11.46,1.73
000300.SH,2012-05-14,1.03,11.37,1.71
000300.SH,2012-05-15,0.9,11.35,1.71
000300.SH,2012-05-16,0.86,11.19,1.69
000300.SH,2012-05-17,0.86,11.34,1.71
000300.SH,2012-05-18,0.86,11.18,1.68
000300.SH,2012-05-21,0.76,11.22,1.69
000300.SH,2012-05-22,0.85,11.34,1.71
000300.SH,2012-05-23,0.86,11.29,1.7
000300.SH,2012-05-24,0.85,11.23,1.69
000300.SH,2012-05-25,0.77,11.15,1.68
000300.SH,2012-05-28,1.11,11.28,1.7
000300.SH,2012-05-29,1.42,11.41,1.72
000300.SH,2012-05-30,1.02,11.37,1.72
000300.SH,2012-05-31,0.86,11.31,1.71
000300.SH,2012-06-01,0.87,11.32,1.71
000300.SH,2012-06-04,1.03,11.04,1.67
000300.SH,2012-06-05,0.74,11.06,1.67
000300.SH,2012-06-06,0.66,11.06,1.67
000300.SH,2012-06-07,0.68,10.98,1.67
000300.SH,2012-06-08,0.86,10.92,1.66
000300.SH,2012-06-11,0.78,11.02,1.68
000300.SH,2012-06-12,0.74,10.95,1.67
000300.SH,2012-06-13,0.88,11.07,1.69
000300.SH,2012-06-14,0.78,10.95,1.69
000300.SH,2012-06-15,0.83,11.01,1.7
000300.SH,2012-06-18,0.7,11.05,1.7
000300.SH,2012-06-19,0.64,10.98,1.69
000300.SH,2012-06-20,0.58,10.96,1.7
000300.SH,2012-06-21,0.69,10.81,1.67
000300.SH,2012-06-25,0.78,10.61,1.65
000300.SH,2012-06-26,0.62,10.6,1.65
000300.SH,2012-06-27,0.58,10.58,1.65
000300.SH,2012-06-28,0.59,10.5,1.64
000300.SH,2012-06-29,0.74,10.64,1.66
000300.SH,2012-07-02,0.77,10.79,1.68
000300.SH,2012-07-03,0.74,10.81,1.68
000300.SH,2012-07-04,0.66,10.8,1.68
000300.SH,2012-07-05,0.66,10.7,1.67
000300.SH,2012-07-06,0.94,10.8,1.68
000300.SH,2012-07-09,0.93,10.57,1.65
000300.SH,2012-07-10,0.67,10.55,1.64
000300.SH,2012-07-11,0.71,10.59,1.65
000300.SH,2012-07-12,1.07,10.64,1.66
000300.SH,2012-07-13,0.69,10.65,1.66
000300.SH,2012-07-16,0.81,10.5,1.64
000300.SH,2012-07-17,0.63,10.56,1.65
000300.SH,2012-07-18,0.79,10.58,1.65
000300.SH,2012-07-19,0.89,10.63,1.66
000300.SH,2012-07-20,0.71,10.54,1.65
000300.SH,2012-07-23,0.61,10.4,1.62
000300.SH,2012-07-24,0.57,10.41,1.63
000300.SH,2012-07-25,0.47,10.36,1.62
000300.SH,2012-07-26,0.59,10.32,1.61
000300.SH,2012-07-27,0.59,10.35,1.62
000300.SH,2012-07-30,0.57,10.29,1.61
000300.SH,2012-07-31,0.6,10.33,1.61
000300.SH,2012-08-01,0.59,10.42,1.62
000300.SH,2012-08-02,0.59,10.35,1.61
000300.SH,2012-08-03,0.56,10.43,1.62
000300.SH,2012-08-06,0.79,10.51,1.64
000300.SH,2012-08-07,0.72,10.5,1.64
000300.SH,2012-08-08,0.71,10.53,1.64
000300.SH,2012-08-09,0.67,10.59,1.65
000300.SH,2012-08-10,0.65,10.56,1.64
000300.SH,2012-08-13,0.84,10.42,1.62
000300.SH,2012-08-14,0.75,10.43,1.62
000300.SH,2012-08-15,0.57,10.33,1.6
000300.SH,2012-08-16,0.49,10.3,1.6
000300.SH,2012-08-17,0.49,10.3,1.6
000300.SH,2012-08-20,0.51,10.25,1.59
000300.SH,2012-08-21,0.65,10.28,1.59
000300.SH,2012-08-22,0.59,10.23,1.58
000300.SH,2012-08-23,0.59,10.24,1.58
000300.SH,2012-08-24,0.6,10.15,1.56
000300.SH,2012-08-27,0.7,10.02,1.51
000300.SH,2012-08-28,0.63,10.1,1.52
000300.SH,2012-08-29,0.54,10.0,1.5
000300.SH,2012-08-30,0.66,10.02,1.5
000300.SH,2012-08-31,0.48,9.98,1.48
000300.SH,2012-09-03,0.72,10.03,1.49
000300.SH,2012-09-04,0.65,9.94,1.47
000300.SH,2012-09-05,0.65,9.89,1.47
000300.SH,2012-09-06,0.59,9.95,1.48
000300.SH,2012-09-07,1.76,10.34,1.53
000300.SH,2012-09-10,1.22,10.36,1.54
000300.SH,2012-09-11,0.86,10.28,1.53
000300.SH,2012-09-12,0.93,10.3,1.53
000300.SH,2012-09-13,0.79,10.23,1.52
000300.SH,2012-09-14,1.15,10.31,1.53
000300.SH,2012-09-17,0.91,10.11,1.5
000300.SH,2012-09-18,0.62,10.0,1.49
000300.SH,2012-09-19,0.64,10.03,1.49
000300.SH,2012-09-20,0.79,9.84,1.46
000300.SH,2012-09-21,0.71,9.86,1.47
000300.SH,2012-09-24,0.7,9.89,1.47
000300.SH,2012-09-25,0.52,9.88,1.47
000300.SH,2012-09-26,0.51,9.79,1.46
000300.SH,2012-09-27,0.99,10.06,1.5
000300.SH,2012-09-28,1.08,10.21,1.52
000300.SH,2012-10-08,0.66,10.14,1.51
000300.SH,2012-10-09,0.98,10.33,1.54
000300.SH,2012-10-10,0.8,10.34,1.54
000300.SH,2012-10-11,0.77,10.27,1.53
000300.SH,2012-10-12,0.69,10.3,1.53
000300.SH,2012-10-15,0.53,10.27,1.53
000300.SH,2012-10-16,0.6,10.27,1.53
000300.SH,2012-10-17,0.62,10.3,1.53
000300.SH,2012-10-18,0.94,10.42,1.55
000300.SH,2012-10-19,0.67,10.4,1.55
000300.SH,2012-10-22,0.64,10.42,1.55
000300.SH,2012-10-23,0.69,10.33,1.54
000300.SH,2012-10-24,0.7,10.32,1.54
000300.SH,2012-10-25,0.83,10.26,1.53
000300.SH,2012-10-26,0.76,10.1,1.49
000300.SH,2012-10-29,0.51,10.06,1.47
000300.SH,2012-10-30,0.64,10.08,1.47
000300.SH,2012-10-31,0.69,10.12,1.46
000300.SH,2012-11-01,0.95,10.29,1.48
000300.SH,2012-11-02,0.74,10.35,1.49
000300.SH,2012-11-05,0.73,10.33,1.49
000300.SH,2012-11-06,0.73,10.3,1.48
000300.SH,2012-11-07,0.61,10.3,1.48
000300.SH,2012-11-08,0.66,10.16,1.46
000300.SH,2012-11-09,0.56,10.15,1.46
000300.SH,2012-11-12,0.64,10.19,1.47
000300.SH,2012-11-13,0.63,10.05,1.45
000300.SH,2012-11-14,0.5,10.09,1.45
000300.SH,2012-11-15,0.52,9.98,1.43
000300.SH,2012-11-16,0.56,9.9,1.42
000300.SH,2012-11-19,0.5,9.89,1.42
000300.SH,2012-11-20,0.44,9.85,1.42
000300.SH,2012-11-21,0.56,9.95,1.43
000300.SH,2012-11-22,0.42,9.88,1.42
000300.SH,2012-11-23,0.53,9.94,1.43
000300.SH,2012-11-26,0.46,9.89,1.42
000300.SH,2012-11-27,0.59,9.82,1.41
000300.SH,2012-11-28,0.56,9.77,1.4
000300.SH,2012-11-29,0.55,9.72,1.4
000300.SH,2012-11-30,0.67,9.79,1.41
000300.SH,2012-12-03,0.74,9.71,1.4
000300.SH,2012-12-04,0.67,9.78,1.41
000300.SH,2012-12-05,1.53,10.05,1.44
000300.SH,2012-12-06,0.9,10.04,1.44
000300.SH,2012-12-07,1.41,10.18,1.46
000300.SH,2012-12-10,1.36,10.28,1.48
000300.SH,2012-12-11,0.95,10.24,1.47
000300.SH,2012-12-12,0.83,10.28,1.48
000300.SH,2012-12-13,0.78,10.18,1.46
000300.SH,2012-12-14,2.05,10.63,1.53
000300.SH,2012-12-17,1.74,10.67,1.53
000300.SH,2012-12-18,1.58,10.69,1.54
000300.SH,2012-12-19,1.17,10.69,1.54
000300.SH,2012-12-20,1.21,10.72,1.54
000300.SH,2012-12-21,1.27,10.63,1.53
000300.SH,2012-12-24,0.98,10.66,1.53
000300.SH,2012-12-25,1.77,10.94,1.57
000300.SH,2012-12-26,1.32,10.95,1.57
000300.SH,2012-12-27,1.35,10.89,1.56
000300.SH,2012-12-28,1.24,11.02,1.58
000300.SH,2012-12-31,1.52,11.2,1.61
000300.SH,2013-01-04,1.83,11.2,1.63
000300.SH,2013-01-07,1.4,11.22,1.63
000300.SH,2013-01-08,1.34,11.14,1.62
000300.SH,2013-01-09,1.31,11.16,1.62
000300.SH,2013-01-10,1.33,11.19,1.62
000300.SH,2013-01-11,1.39,11.03,1.6
000300.SH,2013-01-14,1.75,11.38,1.65
000300.SH,2013-01-15,1.84,11.42,1.65
000300.SH,2013-01-16,1.75,11.32,1.64
000300.SH,2013-01-17,1.3,11.2,1.62
000300.SH,2013-01-18,1.45,11.35,1.64
000300.SH,2013-01-21,1.57,11.38,1.64
000300.SH,2013-01-22,1.97,11.35,1.64
000300.SH,2013-01-23,1.41,11.38,1.64
000300.SH,2013-01-24,2.08,11.33,1.63
000300.SH,2013-01-25,1.09,11.26,1.62
000300.SH,2013-01-28,1.7,11.53,1.66
000300.SH,2013-01-29,1.89,11.58,1.67
000300.SH,2013-01-30,1.86,11.72,1.69
000300.SH,2013-01-31,1.8,11.74,1.69
000300.SH,2013-02-01,1.94,11.95,1.72
000300.SH,2013-02-04,2.39,11.99,1.73
000300.SH,2013-02-05,2.17,12.0,1.73
000300.SH,2013-02-06,1.54,12.0,1.73
000300.SH,2013-02-07,1.68,11.9,1.72
000300.SH,2013-02-08,1.44,11.96,1.72
000300.SH,2013-02-18,1.43,11.88,1.71
000300.SH,2013-02-19,1.5,11.69,1.68
000300.SH,2013-02-20,1.31,11.73,1.69
000300.SH,2013-02-21,1.88,11.37,1.64
000300.SH,2013-02-22,1.12,11.3,1.63
000300.SH,2013-02-25,0.99,11.34,1.63
000300.SH,2013-02-26,1.48,11.18,1.61
000300.SH,2013-02-27,1.17,11.29,1.62
000300.SH,2013-02-28,1.61,11.54,1.66
000300.SH,2013-03-01,1.36,11.48,1.65
000300.SH,2013-03-04,2.05,11.05,1.59
000300.SH,2013-03-05,1.66,11.32,1.63
000300.SH,2013-03-06,1.78,11.4,1.64
000300.SH,2013-03-07,1.74,11.28,1.62
000300.SH,2013-03-08,1.1,11.24,1.62
000300.SH,2013-03-11,0.94,11.19,1.61
000300.SH,2013-03-12,1.33,11.11,1.6
000300.SH,2013-03-13,1.05,11.0,1.58
000300.SH,2013-03-14,0.88,11.0,1.59
000300.SH,2013-03-15,1.51,11.05,1.6
000300.SH,2013-03-18,1.11,10.85,1.57
000300.SH,2013-03-19,1.01,10.94,1.58
000300.SH,2013-03-20,1.68,11.21,1.62
000300.SH,2013-03-21,1.28,11.22,1.62
000300.SH,2013-03-22,1.03,11.37,1.62
000300.SH,2013-03-25,1.04,11.32,1.61
000300.SH,2013-03-26,1.18,11.18,1.59
000300.SH,2013-03-27,1.05,10.99,1.58
000300.SH,2013-03-28,1.62,10.65,1.53
000300.SH,2013-03-29,0.97,10.58,1.53
000300.SH,2013-04-01,0.87,10.58,1.52
000300.SH,2013-04-02,1.03,10.52,1.52
000300.SH,2013-04-03,0.84,10.53,1.52
000300.SH,2013-04-08,0.98,10.46,1.51
000300.SH,2013-04-09,0.97,10.5,1.52
000300.SH,2013-04-10,0.88,10.5,1.52
000300.SH,2013-04-11,0.79,10.48,1.52
000300.SH,2013-04-12,0.74,10.44,1.51
000300.SH,2013-04-15,0.86,10.34,1.49
000300.SH,2013-04-16,1.02,10.41,1.5
000300.SH,2013-04-17,0.82,10.39,1.5
000300.SH,2013-04-18,0.79,10.4,1.5
000300.SH,2013-04-19,1.39,10.65,1.53
000300.SH,2013-04-22,1.15,10.61,1.53
000300.SH,2013-04-23,1.12,10.31,1.49
000300.SH,2013-04-24,1.16,10.44,1.51
000300.SH,2013-04-25,1.11,10.37,1.49
000300.SH,2013-04-26,0.87,10.27,1.46
000300.SH,2013-05-02,0.86,10.29,1.43
000300.SH,2013-05-03,1.14,10.43,1.45
000300.SH,2013-05-06,1.11,10.55,1.46
000300.SH,2013-05-07,1.0,10.56,1.46
000300.SH,2013-05-08,1.09,10.61,1.47
000300.SH,2013-05-09,1.1,10.55,1.46
000300.SH,2013-05-10,0.89,10.6,1.47
000300.SH,2013-05-13,0.99,10.56,1.46
000300.SH,2013-05-14,1.01,10.42,1.45
000300.SH,2013-05-15,0.81,10.45,1.45
000300.SH,2013-05-16,1.3,10.6,1.47
000300.SH,2013-05-17,1.5,10.76,1.49
000300.SH,2013-05-20,1.58,10.82,1.5
000300.SH,2013-05-21,1.31,10.84,1.5
000300.SH,2013-05-22,1.36,10.84,1.5
000300.SH,2013-05-23,1.55,10.7,1.48
000300.SH,2013-05-24,1.11,10.74,1.49
000300.SH,2013-05-27,1.17,10.74,1.49
000300.SH,2013-05-28,1.53,10.9,1.51
000300.SH,2013-05-29,1.44,10.9,1.51
000300.SH,2013-05-30,1.28,10.85,1.51
000300.SH,2013-05-31,1.14,10.76,1.49
000300.SH,2013-06-03,1.09,10.77,1.5
000300.SH,2013-06-04,1.21,10.66,1.48
000300.SH,2013-06-05,0.83,10.64,1.48
000300.SH,2013-06-06,0.96,10.53,1.47
000300.SH,2013-06-07,1.11,10.38,1.45
000300.SH,2013-06-13,1.26,10.09,1.41
000300.SH,2013-06-14,1.02,10.14,1.42
000300.SH,2013-06-17,0.91,10.1,1.41
000300.SH,2013-06-18,0.88,10.11,1.42
000300.SH,2013-06-19,0.99,10.03,1.41
000300.SH,2013-06-20,1.0,9.75,1.37
000300.SH,2013-06-21,1.06,9.65,1.36
000300.SH,2013-06-24,1.56,9.15,1.29
000300.SH,2013-06-25,1.94,9.14,1.29
000300.SH,2013-06-26,1.43,9.09,1.29
000300.SH,2013-06-27,1.36,9.11,1.3
000300.SH,2013-06-28,1.43,9.28,1.33
000300.SH,2013-07-01,1.05,9.36,1.36
000300.SH,2013-07-02,1.12,9.41,1.37
000300.SH,2013-07-03,1.19,9.34,1.36
000300.SH,2013-07-04,1.31,9.39,1.37
000300.SH,2013-07-05,1.11,9.43,1.37
000300.SH,2013-07-08,0.99,9.22,1.34
000300.SH,2013-07-09,0.75,9.25,1.35
000300.SH,2013-07-10,1.1,9.43,1.37
000300.SH,2013-07-11,2.26,9.75,1.42
000300.SH,2013-07-12,1.61,9.58,1.4
000300.SH,2013-07-15,1.34,9.65,1.41
000300.SH,2013-07-16,1.17,9.67,1.41
000300.SH,2013-07-17,1.21,9.56,1.4
000300.SH,2013-07-18,1.02,9.44,1.38
000300.SH,2013-07-19,1.26,9.32,1.36
000300.SH,2013-07-22,0.95,9.35,1.37
000300.SH,2013-07-23,1.34,9.53,1.39
000300.SH,2013-07-24,1.25,9.47,1.39
000300.SH,2013-07-25,1.18,9.43,1.38
000300.SH,2013-07-26,0.87,9.37,1.37
000300.SH,2013-07-29,0.98,9.21,1.35
000300.SH,2013-07-30,0.99,9.29,1.36
000300.SH,2013-07-31,0.86,9.3,1.36
000300.SH,2013-08-01,1.12,9.46,1.38
000300.SH,2013-08-02,1.09,9.45,1.38
000300.SH,2013-08-05,0.99,9.55,1.4
000300.SH,2013-08-06,1.32,9.59,1.4
000300.SH,2013-08-07,1.3,9.53,1.39
000300.SH,2013-08-08,0.95,9.52,1.39
000300.SH,2013-08-09,1.15,9.55,1.4
000300.SH,2013-08-12,1.75,9.78,1.43
000300.SH,2013-08-13,1.39,9.79,1.43
000300.SH,2013-08-14,1.35,9.76,1.42
000300.SH,2013-08-15,1.1,9.68,1.41
000300.SH,2013-08-16,2.13,9.64,1.41
000300.SH,2013-08-19,1.28,9.7,1.41
000300.SH,2013-08-20,1.29,9.62,1.4
000300.SH,2013-08-21,0.97,9.61,1.4
000300.SH,2013-08-22,0.98,9.58,1.39
000300.SH,2013-08-23,1.22,9.53,1.38
000300.SH,2013-08-26,1.24,9.69,1.39
000300.SH,2013-08-27,1.17,9.69,1.39
000300.SH,2013-08-28,1.58,9.65,1.39
000300.SH,2013-08-29,1.17,9.62,1.37
000300.SH,2013-08-30,1.55,9.61,1.36
000300.SH,2013-09-02,1.41,9.63,1.36
000300.SH,2013-09-03,1.42,9.75,1.38
000300.SH,2013-09-04,1.39,9.74,1.38
000300.SH,2013-09-05,1.11,9.72,1.37
000300.SH,2013-09-06,1.29,9.77,1.38
000300.SH,2013-09-09,2.65,10.13,1.43
000300.SH,2013-09-10,2.74,10.21,1.44
000300.SH,2013-09-11,2.94,10.25,1.45
000300.SH,2013-09-12,2.56,10.34,1.46
000300.SH,2013-09-13,1.95,10.24,1.45
000300.SH,2013-09-16,1.86,10.21,1.44
000300.SH,2013-09-17,1.75,10.02,1.42
000300.SH,2013-09-18,1.25,10.03,1.42
000300.SH,2013-09-23,1.41,10.16,1.43
000300.SH,2013-09-24,1.73,10.05,1.42
000300.SH,2013-09-25,1.6,10.01,1.41
000300.SH,2013-09-26,1.52,9.85,1.39
000300.SH,2013-09-27,1.16,9.88,1.4
000300.SH,2013-09-30,1.05,9.92,1.4
000300.SH,2013-10-08,1.5,10.02,1.42
000300.SH,2013-10-09,1.34,10.06,1.42
000300.SH,2013-10-10,1.59,9.97,1.41
000300.SH,2013-10-11,1.64,10.12,1.43
000300.SH,2013-10-14,1.76,10.14,1.43
000300.SH,2013-10-15,1.57,10.09,1.42
000300.SH,2013-10-16,1.56,9.96,1.4
000300.SH,2013-10-17,1.25,9.95,1.4
000300.SH,2013-10-18,1.06,9.97,1.41
000300.SH,2013-10-21,1.49,10.12,1.43
000300.SH,2013-10-22,1.59,10.03,1.41
000300.SH,2013-10-23,1.61,9.95,1.4
000300.SH,2013-10-24,1.13,9.86,1.39
000300.SH,2013-10-25,1.35,9.74,1.37
000300.SH,2013-10-28,1.1,9.74,1.36
000300.SH,2013-10-29,1.88,9.79,1.37
000300.SH,2013-10-30,1.62,9.93,1.37
000300.SH,2013-10-31,1.45,9.85,1.34
000300.SH,2013-11-01,1.11,9.9,1.35
000300.SH,2013-11-04,0.91,9.89,1.34
000300.SH,2013-11-05,1.09,9.9,1.35
000300.SH,2013-11-06,1.12,9.81,1.33
000300.SH,2013-11-07,0.96,9.79,1.33
000300.SH,2013-11-08,0.94,9.7,1.32
000300.SH,2013-11-11,0.8,9.72,1.32
000300.SH,2013-11-12,0.92,9.8,1.33
000300.SH,2013-11-13,1.05,9.62,1.31
000300.SH,2013-11-14,1.01,9.66,1.31
000300.SH,2013-11-15,1.52,9.8,1.33
000300.SH,2013-11-18,1.93,10.08,1.37
000300.SH,2013-11-19,1.38,10.04,1.37
000300.SH,2013-11-20,1.27,10.09,1.37
000300.SH,2013-11-21,1.54,10.08,1.37
000300.SH,2013-11-22,1.32,10.06,1.37
000300.SH,2013-11-25,1.16,10.0,1.36
000300.SH,2013-11-26,1.04,9.97,1.36
000300.SH,2013-11-27,1.32,10.06,1.37
000300.SH,2013-11-28,1.59,10.15,1.38
000300.SH,2013-11-29,1.08,10.13,1.38
000300.SH,2013-12-02,2.1,10.17,1.38
000300.SH,2013-12-03,1.31,10.21,1.39
000300.SH,2013-12-04,1.8,10.31,1.4
000300.SH,2013-12-05,1.36,10.27,1.4
000300.SH,2013-12-06,1.16,10.23,1.39
000300.SH,2013-12-09,1.0,10.22,1.39
000300.SH,2013-12-10,1.17,10.21,1.39
000300.SH,2013-12-11,1.2,10.05,1.37
000300.SH,2013-12-12,0.88,10.04,1.36
000300.SH,2013-12-13,0.91,9.99,1.36
000300.SH,2013-12-16,1.14,10.03,1.37
000300.SH,2013-12-17,0.86,9.98,1.36
000300.SH,2013-12-18,0.71,9.97,1.36
000300.SH,2013-12-19,0.85,9.89,1.35
000300.SH,2013-12-20,1.15,9.65,1.32
000300.SH,2013-12-23,0.81,9.72,1.33
000300.SH,2013-12-24,0.81,9.73,1.33
000300.SH,2013-12-25,0.78,9.79,1.33
000300.SH,2013-12-26,0.91,9.63,1.31
000300.SH,2013-12-27,0.94,9.76,1.33
000300.SH,2013-12-30,0.86,9.73,1.33
000300.SH,2013-12-31,1.0,9.83,1.34
000300.SH,2014-01-02,0.8,9.79,1.33
000300.SH,2014-01-03,1.06,9.68,1.32
000300.SH,2014-01-06,1.17,9.54,1.3
000300.SH,2014-01-07,0.77,9.52,1.3
000300.SH,2014-01-08,0.9,9.5,1.29
000300.SH,2014-01-09,0.99,9.44,1.28
000300.SH,2014-01-10,0.95,9.39,1.28
000300.SH,2014-01-13,0.88,9.38,1.27
000300.SH,2014-01-14,0.95,9.44,1.28
000300.SH,2014-01-15,0.86,9.41,1.28
000300.SH,2014-01-16,0.92,9.41,1.28
000300.SH,2014-01-17,0.89,9.33,1.27
000300.SH,2014-01-20,0.71,9.26,1.26
000300.SH,2014-01-21,0.71,9.32,1.27
000300.SH,2014-01-22,1.25,9.51,1.29
000300.SH,2014-01-23,0.99,9.45,1.28
000300.SH,2014-01-24,1.08,9.49,1.29
000300.SH,2014-01-27,1.24,9.38,1.27
000300.SH,2014-01-28,0.94,9.41,1.28
000300.SH,2014-01-29,0.88,9.45,1.28
000300.SH,2014-01-30,0.77,9.36,1.27
000300.SH,2014-02-07,0.88,9.37,1.27
000300.SH,2014-02-10,1.46,9.55,1.29
000300.SH,2014-02-11,1.74,9.64,1.31
000300.SH,2014-02-12,1.34,9.65,1.31
000300.SH,2014-02-13,1.69,9.63,1.3
000300.SH,2014-02-14,1.18,9.67,1.31
000300.SH,2014-02-17,1.54,9.74,1.32
000300.SH,2014-02-18,1.53,9.63,1.3
000300.SH,2014-02-19,1.74,9.77,1.32
000300.SH,2014-02-20,1.87,9.76,1.32
000300.SH,2014-02-21,1.34,9.64,1.3
000300.SH,2014-02-24,1.56,9.44,1.28
000300.SH,2014-02-25,1.63,9.26,1.25
000300.SH,2014-02-26,1.37,9.29,1.26
000300.SH,2014-02-27,1.58,9.32,1.26
000300.SH,2014-02-28,1.34,9.36,1.27
000300.SH,2014-03-03,1.44,9.4,1.27
000300.SH,2014-03-04,1.28,9.37,1.27
000300.SH,2014-03-05,1.08,9.27,1.26
000300.SH,2014-03-06,1.21,9.31,1.26
000300.SH,2014-03-07,1.13,9.29,1.26
000300.SH,2014-03-10,1.25,9.05,1.23
000300.SH,2014-03-11,1.01,9.07,1.23
000300.SH,2014-03-12,1.23,9.05,1.23
000300.SH,2014-03-13,1.21,9.15,1.24
000300.SH,2014-03-14,1.03,9.03,1.23
000300.SH,2014-03-17,0.92,9.09,1.24
000300.SH,2014-03-18,0.97,9.06,1.24
000300.SH,2014-03-19,1.04,8.97,1.23
000300.SH,2014-03-20,1.19,8.83,1.22
000300.SH,2014-03-21,1.82,9.01,1.25
000300.SH,2014-03-24,1.83,9.06,1.26
000300.SH,2014-03-25,1.52,9.02,1.26
000300.SH,2014-03-26,1.02,8.86,1.26
000300.SH,2014-03-27,1.25,8.71,1.24
000300.SH,2014-03-28,1.23,8.53,1.24
000300.SH,2014-03-31,0.97,8.3,1.23
000300.SH,2014-04-01,0.86,8.31,1.24
000300.SH,2014-04-02,1.14,8.38,1.25
000300.SH,2014-04-03,1.25,8.31,1.24
000300.SH,2014-04-04,0.84,8.37,1.25
000300.SH,2014-04-08,1.69,8.57,1.27
000300.SH,2014-04-09,1.15,8.58,1.27
000300.SH,2014-04-10,1.99,8.71,1.29
000300.SH,2014-04-11,1.57,8.69,1.29
000300.SH,2014-04-14,1.08,8.68,1.29
000300.SH,2014-04-15,1.18,8.53,1.27
000300.SH,2014-04-16,0.89,8.54,1.27
000300.SH,2014-04-17,0.84,8.5,1.27
000300.SH,2014-04-18,0.88,8.49,1.26
000300.SH,2014-04-21,0.98,8.37,1.24
000300.SH,2014-04-22,0.99,8.4,1.25
000300.SH,2014-04-23,0.83,8.39,1.25
000300.SH,2014-04-24,0.78,8.35,1.24
000300.SH,2014-04-25,1.04,8.28,1.22
000300.SH,2014-04-28,1.05,8.19,1.19
000300.SH,2014-04-29,0.84,8.25,1.19
000300.SH,2014-04-30,0.79,8.26,1.18
000300.SH,2014-05-05,0.86,8.25,1.18
000300.SH,2014-05-06,0.83,8.25,1.18
000300.SH,2014-05-07,0.77,8.19,1.17
000300.SH,2014-05-08,0.84,8.2,1.17
000300.SH,2014-05-09,0.86,8.2,1.17
000300.SH,2014-05-12,1.45,8.35,1.19
000300.SH,2014-05-13,1.13,8.34,1.19
000300.SH,2014-05-14,0.84,8.33,1.19
000300.SH,2014-05-15,0.81,8.26,1.18
000300.SH,2014-05-16,0.73,8.27,1.18
000300.SH,2014-05-19,0.74,8.18,1.17
000300.SH,2014-05-20,0.65,8.18,1.17
000300.SH,2014-05-21,0.68,8.26,1.18
000300.SH,2014-05-22,0.8,8.24,1.18
000300.SH,2014-05-23,0.65,8.3,1.18
000300.SH,2014-05-26,0.68,8.31,1.19
000300.SH,2014-05-27,0.62,8.29,1.18
000300.SH,2014-05-28,0.86,8.36,1.19
000300.SH,2014-05-29,0.77,8.33,1.19
000300.SH,2014-05-30,0.76,8.33,1.19
000300.SH,2014-06-03,0.72,8.33,1.19
000300.SH,2014-06-04,0.72,8.27,1.18
000300.SH,2014-06-05,0.63,8.34,1.19
000300.SH,2014-06-06,0.62,8.29,1.19
000300.SH,2014-06-09,0.68,8.3,1.19
000300.SH,2014-06-10,0.87,8.4,1.2
000300.SH,2014-06-11,0.73,8.4,1.2
000300.SH,2014-06-12,0.74,8.38,1.2
000300.SH,2014-06-13,1.02,8.46,1.21
000300.SH,2014-06-16,1.09,8.63,1.24
000300.SH,2014-06-17,0.86,8.54,1.23
000300.SH,2014-06-18,0.85,8.5,1.22
000300.SH,2014-06-19,0.92,8.39,1.21
000300.SH,2014-06-20,0.73,8.39,1.23
000300.SH,2014-06-23,0.71,8.36,1.22
000300.SH,2014-06-24,0.69,8.4,1.23
000300.SH,2014-06-25,0.65,8.37,1.23
000300.SH,2014-06-26,0.76,8.41,1.23
000300.SH,2014-06-27,0.9,8.38,1.24
000300.SH,2014-06-30,0.93,8.43,1.24
000300.SH,2014-07-01,0.91,8.42,1.24
000300.SH,2014-07-02,1.03,8.46,1.25
000300.SH,2014-07-03,1.1,8.47,1.25
000300.SH,2014-07-04,0.91,8.46,1.25
000300.SH,2014-07-07,0.86,8.47,1.25
000300.SH,2014-07-08,0.87,8.48,1.26
000300.SH,2014-07-09,1.06,8.38,1.24
000300.SH,2014-07-10,0.95,8.32,1.24
000300.SH,2014-07-11,1.05,8.34,1.25
000300.SH,2014-07-14,1.13,8.41,1.26
000300.SH,2014-07-15,1.23,8.43,1.26
000300.SH,2014-07-16,1.39,8.42,1.26
000300.SH,2014-07-17,1.01,8.37,1.26
000300.SH,2014-07-18,1.12,8.39,1.26
000300.SH,2014-07-21,0.92,8.38,1.26
000300.SH,2014-07-22,1.34,8.47,1.27
000300.SH,2014-07-23,1.43,8.49,1.27
000300.SH,2014-07-24,2.03,8.63,1.29
000300.SH,2014-07-25,1.69,8.72,1.31
000300.SH,2014-07-28,3.06,8.96,1.34
000300.SH,2014-07-29,2.28,8.97,1.35
000300.SH,2014-07-30,2.09,8.95,1.34
000300.SH,2014-07-31,1.89,9.04,1.36
000300.SH,2014-08-01,2.15,8.98,1.35
000300.SH,2014-08-04,1.98,9.13,1.37
000300.SH,2014-08-05,1.9,9.11,1.37
000300.SH,2014-08-06,1.98,9.08,1.36
